id;welcome;description;sort_order;date_added;date_modified;status
1;Table;open-source;18566;2021-04-07;2021-04-08;DISABLED
2;Refined metrics e-commerce;Chief;83846;2021-04-07;2021-04-08;RESTRICTED
3;Planner;synthesize Electronics;84420;2021-04-08;2021-04-07;RESTRICTED
4;Regional;Georgia Hat;58784;2021-04-07;2021-04-08;DISABLED
5;Indiana Designer;front-end Verde Mexico;64626;2021-04-08;2021-04-08;DISABLED
6;Bedfordshire Investor;Front-line plug-and-play Versatile;76773;2021-04-08;2021-04-08;RESTRICTED
7;payment;throughput Berkshire Tonga;63850;2021-04-08;2021-04-08;RESTRICTED
8;Open-source Baby Borders;SQL Avon;10922;2021-04-08;2021-04-07;RESTRICTED
9;feed Kids;Fresh;27188;2021-04-07;2021-04-08;DISABLED
10;blue Chief;Nebraska;91308;2021-04-08;2021-04-07;RESTRICTED
